19	Provident Equinox 2	Provident Housing Limited	30-06-2025	Sy No 25 and 26 Venkatapura Village , Kengeri Hobli	72
20	NARYA BREATH FRESH	NARYA CONSTRUCTIONS PVT LTD	30-09-2025	Katha No.85/Sy No.26/2/323/43, Kembattahalli Village, Uttarahalli Hobli, Bangalore South Taluk, Katha No.85/Sy No.26/2/323/43, Kembattahalli Village, Uttarahalli Hobli, Bangalore South Taluk	111.2
21	SIPANI PENNANTIA	sipani properties pvt ltd	30-09-2025	Sy No 54 -1 -2-3 and 4  of  GOTTIGERE  village  , uttarahalli hobli Bangalore south taluk	109.4
22	CENTREO by Enessen Estates & Prime One Corp	SILVERSTREAM DEVELOPERS PVT LTD	30-03-2026	Sy.No: 14/2,Raghuvanahalli village,Uttarahalli Hobli,Bangalore south, Sy.No: 14/2,Raghuvanahalli village,Uttarahalli Hobli,Bangalore south	112
23	JCSV PRIDE	JCSV BUILDERS & DEVELOPERS	30-04-2025	Site NO 11/2, Kembathalli , Uttarahalli hobli, Bangalore south Tq	98.2
24	KRISHNA RESIDENCY	SREE VENKATESHWARA BUILDERS	31-08-2025	SY NO 12/5, 3RD B MAIN ROAD, JUDICIAL LAYOUT PHASE - 2   , TALAGHATTAPURA
25	Mahaveer Rarus	REDDY STRUCTURES PRIVATE LIMITED	30-09-2025	Sy. No 25/1, Sarakki kere,Puttenahalli , J P Nagar 7th Phase	132
26	PURSUIT OF HAPPINESS	MUPPIRI DEVELOPERS	01-09-2025	SY NO 172/2 AND 172/4  KOTHANURU VILLAGE, UTTARAHALLI HOBLI	104.3
27	ADARSH STRATUSS PHASE 1	M/s Adarsh Developers	28-11-2025	Khata NO.1224,Survey no 18 / 2A / 1, Sarakkikere Village, Uttarahalli Hobli , Ward no 187.BANGALORE  - 560078	162.1
28	Provident Park Square 5	Puravankara Limited	30-06-2026	Sy No 3/3, 7, 8/1, 9/2A, 9/2B1, 26/1 Mallasandra Village, Uttarahalli Hobli	83.8
29	OZONE CHAMBERS	ITALIX LIVING SPACES PVT LTD	31-12-2025	New municipal no.395,Roopena Agrahara Village, Begur Hobli, Bangalore South Taluk
30	SHRIRAM SOUTHERN CREST - Phase -2	SHRIPROP PROJECTS PRIVATE LIMITED	21-10-2026	Sy. Nos. 39, 40, 41 & 42/3A of Jaranganahalli Village, Uttarahalli Hobli, Bangalore South Taluk, Bangalore District, Karnataka	113.2
31	PRESTIGE PRIMROSE HILLS-PH-I	PRESTIGE ESTATES PROJECTS LIMITED	28-02-2025	Katha No.1/2/3,7/3,7/5,7/10/7/4/7/2/7/6, Ward No.198,, Uttarahalli Manavarthe Kaval, Rajarajeshwarinagar Zone
32	PRESTIGE PRIMROSE HILLS PH-2	PRESTIGE ESTATES PROJECTS LIMITED	30-06-2025	Katha No.1/2/3/7/3,7/10/7/4/7/2/7/6, Uttarahalli Manavarthe Kaval, Ward No.198, Rajarajeshwarinagar Zone	102.6
33	ISR INDRAPRASTHA	ISR CONSTRUCTIONS PRIVATE LIMITED	30-08-2025	KATHA NO 279 , SY NO 115/4,5,6,7,8, WARD NO 192 BEGUR VILLAGE	169
34	KNS AADRIKA	KNS Infrastructure Private Limited	16-01-2025	Dodderi Village, Tavarekere Hobli, Bengaluru South Taluk,
35	CANVAS AND COVE PHASE 1 WING C AND D	APG Habitat Private Limited	31-03-2025	149/1 149/3 149/4 149/5 149/6149/7 PART150,  BEGUR VILLAGE BEGUR HOBLI	77.7
36	Purva Park Hill (Wing A)	Puravankara Limited	31-12-2027	Survey No. 19 Mallasandra Village Uttarahalli Hobli, Off Kankanpura Road	109.3
37	Purva Park Hill (Wing B)	Puravankara Limited	31-12-2027	Survey No 19 Mallasandra Village, Kanakapura Road	108.5
38	Purva Park Hill (Wing C)	Puravankara Limited	31-12-2027	Survey No. 19 Mallasandra Village Uttarahalli Hobli, Off Kanakapura Road	108.5
39	Purva Park Hill (Wing D)	Puravankara Limited	31-12-2027	Survey No. 19 Mallasandra Village Uttarahalli Hobli, Off Kankanpura Road	109.3
40	SURAKSHA HERITAGE PARK	SAI SURAKSHA PROPERTIES	18-01-2027	KHATA NO 134/25/225/3, SY NO.25/2,25/3, BEGUR VILLAGE, , BEGU HOBLI, BANGALORE SOUTH	98.5
41	G R FLORET	SGR BUILDTECH LLP	31-12-2026	Khatha No 96/97/46/2, Ward No 192, Yelenahalli Village, Koppa Road, Begur Hobli, Bangalore	89.7
42	SUGUNA PRISTINE SQUARE	SUGUNA  BUILDERS AND DEVELOPERS	31-12-2026	Property No./PID No. 1263/142/2 ,Ward No: Ward-160, Haligevaderahalli Village,Kengeri Hobli,Bangalore South, Bengaluru.	102
43	COMFORT LALBAGH RESIDENCY	M R COMFORT	20-01-2025	NO. 147, SIIDAPURA 1ST BLOCK, JAYANAGAR,, BANGALORE	459
44	Concorde Abode 99	Concorde Millennium LLP	30-09-2026	Sy No 10/1, 10/2, 10/3, 11/2B, 12/1, 12/2, 17 and 31/1, Ramasagara Village, Attibele Hobli, Anekal Taluk
45	SHRIRAM WESTWOODS	SREE RAYALASEEMA HI STRENGTH HYPO LIMITED	26-02-2026	SY.NO.20/2,23,24(P), 25/1(P) & 25/2(P) , OF DODDERI VILLAGE, TAVAREKERE HOBLI, BANGALORE SOUTH TALUK,
46	1 Lakh Multi Storey Bengaluru Housing Programme	Rajiv Gandhi Housing Corporation Ltd	20-02-2025	Sy No.28, Muddayanapalya, Taverekere  , Bengalore South, Sy No.28, Muddayanapalya, Taverekere  , Bengalore South
47	Sound of Water Phase 2	Puravankara Limited	30-06-2026	24/3, 29/1, 29/2, 33, 34, 35/1, 35/2, 35/3, 36/2, 36/3, 36/4, 36/5, 36/6, 48, 49/1, 49/2, 50, 51, 52/1, 52/2, 53/1, 53/2, 53/3, 53/4, 53/5, Ward No. 192, Kammanahalli Village, Begur Hobli	210.5
48	1 Lakh Multi Storey Bengaluru Housing Programme	Rajiv Gandhi Housing Corporation Limited	20-02-2025	Muddayanapalya, Taverekere to Kengeri Road , Bengalore South, Muddayanapalya, Taverekere to Kengeri Road , Bengalore South
49	SIDDARTHA SOLITAIRE PHASE 2	Siddartha Builders	31-12-2026	Sy.No:25/7,8,9,10 of Beretena Agrahara Village, Begur Hobli, Bengaluru	90
50	M5 E-city mall	Mahendra Sivepillars LLP	31-12-2025	Plot No. 1 in Veerasandra Industrial Area Situated in Sy No. 17,18,19 & 20, Veerasandra ,, Hosur  Road, Attibele Hobli, Anekal Taluk, Bangalore
51	CONSTRUCTION OF 516(GF) INDIVIDUAL UNITS	KARNATAKA SLUM DEVELOPMENT BOARD	06-07-2026	WARD NO 147 ,RAJENDRANAGARA , ADUGODI ,BTM LAYOUT , BENGALURU
52	Construction of 1200 (GF) HOUSES at Bommanahalli	karnataka slum development board	17-10-2026	Hulimavu  , Venugopalanagar, bannerghatta road , bangalore
53	Construction of 1430 Houses in CV Raman Nagar	KARNATAKA SLUM DEVELOPMENT BOARD	17-10-2026	Sudamanagara , Bangalore South
54	Construction of 484 Ground Floor units in  Variou	KSDB	16-10-2026	corporation colny Jayanagara 9th Block near east end  circle, corporation colny  Jayanagara 9th Block near east end  circle
55	Construction of 1000 Dus in Rajarajeshwarinagar	Karnataka Slum Development Board	17-10-2026	Various slums in Rajarajeshwarinagar Constituency , Rajarajeshwarinagar, Bangalore
56	SAIBYA SUNDEW	SAIBYA HOMES LLP	28-02-2025	Sy No 61/7  YELENAHALLI , Begur Main Road	92.2
57	VBHC Haven of Joy	VBHC Mumbai Value Homes Pvt Ltd	30-09-2026	VBHC PALMHAVEN - 2 BLOCK -A, DODDABELE VILLAGE, KENGERI HOBLI, BANGALORE SOUTH TALUK, BENGALURU SOUTH, BENGALURU URBAN
58	ICON MICASA	ICON INFRA SHELTERS INDIA PRIVATE LIMITED	31-12-2026	Survey Nos.64/2 and 62/1, Thindlu Village, Sarjapur Hobli, Anekal Taluk	56.3
59	MAHINDRA EDEN PHASE-1	MAHINDRA LIFESPACE DEVELOPERS LIMITED	30-03-2027	Mahindra Eden Sy. No. 49 & 50/2, Holiday Village Road,  , Vajarahalli Village,  Kanakapura Road, Bengaluru: 560062.	119.8
60	BRIGADE KOMARLA HEIGHTS	Brigade Enterprises Ltd	31-12-2026	Subramanyapura, Uttarahalli, Bangalore	105.7
61	SNN RAJ SERENITY	SNN Builders Private Limited	31-10-2027	Sy No, 40/1, 40/2, 40/3, 40/4. 40/5, 40/6, 49/1, 49/2, 41/1, 41/2, 41/3, 41/4, 41/7, 42/5 SNN RAJ SERENITY, YELENAHALLI VILLAGE  , BEGUR HOBLI BENGALURU SOUTH TALUK, BENGALURU URBAN DISTRICT	124.2
62	Purva Zentech	Purva Ruby Properties Pvt Ltd	01-06-2027	SY.No.43/1,43/2,44/4,44/5,44/6,44/7 , Doddakalasandra Village  - , Doddakallasandra Village, Kanakapura Main Road Uttarahalli Hobli Bangalore Ward No.197
63	PLATINUM GREENFIELDS	SAI PROPERTIES	30-06-2025	Sy 80, Kembathahalli, Uttarahalli Hobli	109.8
64	JITO RANKA NAGAR	Essence Realty LLP	30-04-2027	Sy No 27, situated at Doddabelle Village,  , Kengeri Hobli
65	VKR PARADISE	VKR INFRA	31-03-2025	VKR Paradise Sy.no 82, Behind sculpture park BSK 6th stage,  , 1st Block, BHCS Layout, Uttarahalli Hobli,	89
66	BRIGADE NANDA HEIGHTS	Brigade Enterprises Ltd	31-12-2026	Banashankari 6th Stage 1st Block, Thurahalli Village, Uttarahalli Hobli,	98.6
67	TVS Emerald Jardin	Emerald Haven Development Limited	31-07-2027	Sy No in 117/1 OF SINGASANDRA VILLAGE AND Sy No in 63/2, 63/3, 63/4, 63/5, 63/6 OF BASAPURA VILLAGE , BEGUR HOBLI, BANGALORE SOUTH TALUK	89
68	South Park phase 2	ESTEEM SOUTH PARKS PRIVATE LIMITED	31-12-2026	Sy No 5/2 , 18/2, 19/3B, 19/4, 19/6, 19/3A, 19/7 , gottigere village uttarhalli hobli bangalore south taluk
69	Brigade Horizon	Brigade Enterprises Limited	31-12-2026	Survey No's 248/1 and 248/2,  , Kambipura Village, Kengeri Hobli, Bangalore South Taluk	92.1
70	ANAND SOMU AARUSH	ANAND GROUP	31-08-2027	ANAND ALPINE Sy. No. 4/4,4/6 &  36  ANJANAPURA VILLAGE, UTTARAHALLI HOBLI	198.1
71	GRAVITY ARANYA	GRAVITY ESTATES	15-11-2026	PROPOSED RESIDENTIAL APARTMENT `BUILDING ATKHATHA NO.424/31,37,38,SY NO. 31,37,&38 , CHUDENAPURA VILLAGEKENGERI HOBLI,BANGALORE SOUTH TALUK, BANGALORE ,WARD NO.198,	180.4
72	JRC WILD WOODS	JRC PROJECTS	30-03-2026	JRC Palladio, Near Indus International School, Tyayakanhalli, Billapura Cross, Sarjapura - Attible Road	145.9
73	CASAGRAND HAZEN	CASA GRANDE GARDEN CITY BUILDERS PVT LTD	13-07-2027	Survey No.3/1, 5/3, Kotaganahalli Village, Sarjapur Hobli	120.1
74	Construction of 1293 Dus at Kenchanapura Sy.No.63	Rajiv Gandhi Housing Corporation Limited	20-02-2025	Sy.No.63, Kenchanapura, Kengeri Hobli, ,  Bengaluru South Taluk, Bengaluru
75	VG BOAT CLUB	VINAYAKAIAH BUILDERS AND DEVELOPERS PVT LTD	31-12-2025	PID No. SITE/KATHA NO 389/3165/57/2 ,"RAMANASHREE NAGAR", , GOTTIGERE VILLAGE, UTTARAHALLI HOBLI	88
76	Shivaganga Sai Raksha	SHIVAGANGA BUILT TECH	31-03-2026	Sy. No. 6/3, Kanakapura Main Road , Raghuvanahalli Village, Hemmigepura	97.6
77	GARDEN SQUARE	Sai Kiran Constructions	30-06-2026	Khatha No. 2380/2/55/1  Sy. No. 55/1 , Ward No.184, Uttarahalli	109.3
78	RAJ VIVIENTE	SNN ABODE LLP	31-07-2026	Sy No 55, 56/1, 56/2, 57/3, 57/4, 57/6, 57/5 situated in Kammanahalli Village , Begur Hobli
79	Mahaveer Highlands	REDDY STRUCTURES PRIVATE LIMITED	31-03-2027	MAHAVEER TURQUOISE, SY. NO. 42/1, BASAPURA VILLAGE, BEGUR HOBLI	88.3
80	GOOD EARTH MOTIF	GOOD EARTH ECO DEVELOPMENTS PRIVATE LIMITED	31-03-2026	Sy. Nos. 223 (P), 224 (P) & 226 (P), , Kambipura Village, Kengeri Hobli,
81	Nandi Brindavan	NANDI DEVELOPERS	01-03-2027	BBMP Khatha No.1661, Sy.No. 13, uttarahalli main Road,  , BHCS layout , Ward number 184,	128.7
82	LEGEND VALENCIA	LEGEND PROPERTY	31-12-2026	LEGEND PROPERTY , SY NO 54/6 & 54/7 SINGASANDRA VILLAGE BEGUR HOBLI	90.7
83	MYTHRI HABITAT	MYTHRILEITE HOMES PRIVATE LIMITED	31-12-2026	BBMP KATHA NO,2404, SY. NO.74, KOTHANUR VILLAGE , WARD NO.194, BANGALORE
84	4 SQUARE WHITE PETALS	4 SQUARE REALTY	30-09-2025	Sy No. 129/5, 129/6, 129/7 and 129/8, Javaregowda Doddi , Hosakerehalli Village, Uttarahalli Hobli, Bangalore	95.2
85	SAI NANDANA MARVELLA	SAI NANDANA PROPERTIES	30-09-2025	BBMP KHATHA NO 117/433/65/1/434/432,  , KEMBATHAHALLI VILLAGE, UTTARAHALLI HOBLI, BANGALORE SOUTH TALUK, WARD NO 196	100.6
86	K&T'S SAI SANNIDHI	K & T Constructions	31-12-2025	KATHA NO. 898/55, 60/2, 60/3, SY NO. 55, 60/2 & 60/3, BASAPURA VILLAGE, , BEGUR HOBLI, (WARD NO. 192)	97.3
87	HONEY COMB HOMES	HONEY COMB BUILDERS	25-04-2026	DODDABELE VILLAGE, KENGERI HOBLI	92.8
88	OPERA PRIMUS	M/S. OPERA STRUCTURES	31-12-2027	Sy.253/295/1, BBMP NO:254/295/1. BEGUR ROAD,	100.2
89	South Park Phase 1	ESTEEM SOUTH PARKS PRIVATE LIMITED	15-08-2026	sy No 5(P), 18/2,19/3B, 19/4,19/6,19/3A (P), 19/7(P),  , Gottigere Village Uttarhalli Hobli
90	ARCHITHA AARNA	ARCHITHA VENTURES LLP	31-01-2026	SY.NO.40, CHANNSANDRA VILLAGE , UTTARAHALLI HOBLI	128
91	PARADISE ON EARTH	Urbanrise Classic Homes Private Limited	31-01-2026	Survey No. 35, Gangasandra Village , Kengeri Hobli, Bangalore South Taluk
92	SHIVAGANGA AR PRAKRUTHI	M/s. Prakruthi Properties	30-09-2025	KHATHA NO.1188/19/1 & 19/2 & 19/3/20/4 & 20/5 , AREAHALLI VILLAGE, UTTARAHALLI HOBLI	98.3
93	HSK URBAN LIVING	HSK DEVELOPERS (PROP PARVATHAMMA KRISHNAIAH)	01-03-2027	Sy. No. 64/3A, Ward No.30,  Hebbagodi Village , Attibele Hobli, Anekal Taluk, Bengaluru Urban District	84.4
94	Concorde Opus II Phase 2	Concorde I Values Homes India LLP	30-04-2026	Sy No.79/1 & other, Tharalu Village, Uttarahalli Hobli
95	GOOD EARTH OCTAVE	GOOD EARTH ECO COMMUNITIES PRIVATE LIMITED	31-12-2026	Sy. Nos. 228(P), 229-1 & 229-2 , Kambipura Village
96	CASAGRAND ZAIDEN	CASA GRANDE GARDEN CITY BUILDERS PVT LTD	22-03-2026	SY.NO.59 (OLD SY.NO.7/9), KHATHA NO.237/1/7/9/7/18 at WARD NO.198 , UTTARAHALLI MANAVARTHAKAVAL VILLAGE	112.3
97	USR SUSOWDHA	USR BUILDERS AND DEVELOPERS	31-12-2025	Survey Number 53/3 (Old Survey Number 53/1) , GOLLAHALLI VILLAGE, Uttarahalli Hobli, Bangalore South Taluk	108.3
98	PIONEER KRS PARK ROYAL WING 2	KRS EVERGREEN STRUCTURES	30-06-2026	Sy No 54, Property No./PID No. 340/341/54, Ward no 198 , Kenchenahalli village, Kengeri Hobli	115
99	ELEGANT HERMITAGE	ELEGANT BUILDERS AND DEVELOPERS	31-03-2027	V Legacy Rd., Banashankari 3rd Stage, Hosakerehalli, Bengaluru	109.6
100	CASAGRAND FLAMINGO	CASA GRANDE GARDEN CITY BUILDERS PRIVATE LIMITED	15-09-2026	Sy No 50, Haralukunte Village , Begur Hobli	119.6
101	OAKVILLE	MH Properties	31-03-2025	Sy No.165/7, 166/5 and 172, Tharalu Village , Uttarahalli Hobli
102	Bonitas Landmark	Bonitas Developers &  Builders	31-03-2025	01/02/8/1, Thalaghattapura Village, Uttarahalli Hobli,  , Bangalore South Taluk	150.6
103	RAGAM MELODIES	RT VENTURES	30-03-2025	Sy.No. 115/1 & 116/1, Begur Village, Begur Hobli, Bangalore South Taluk  , known as RAGAM GARDENS
104	SHELL SAPPHIRE	SHELL PROMOTERS AND INFRA LLP	07-02-2025	Survey No. 79/2A1, Doddanagamangala Villege,  , Begur Hobli Bangalore South Taluk	99
105	MELROSE	BRICK CULTURE HOUSING LLP	24-07-2025	SY. No.53/1, 53/2, 54/5 and 54/6 at Nimbekaipura Village,  , Bidarahalli Hobli, Bangalore East Taluk
106	RV FALLON	R V BUILDERS AND DEVELOPERS	20-05-2027	30, Hosakerehalli Main Road,  , Girinagar,	93.6
107	RAJARSHI GREEN CITY	Rajarshi Developers Pvt Ltd	30-05-2025	SY. NO. 52/1 OF DODDERI VILLAGE , TAVAREKERE HOBLI
108	RAINBOW VISTAS	Rainbow Properties	31-07-2025	Sy. No. 131, Uttari Village, Uttarahalli Village, Bangalore South, Bangalore
109	SUNRISE ROYAL VISTA	Sunrise Developers and Constructions	31-12-2025	Sy No.54/3, Channasandra, Uttarahalli Hobli , Bangalore South Taluk,	100
110	C R Serenity	C R Builders	15-05-2025	Katha No. 259, Sy. No. 324, Begur Village , Begur Hobli, Bangalore Ward No. 192	100.3
111	The High Line Park	Gen Y Social communities LLP	31-08-2027	Sy no 43/30, Kambipura Village, Kumbalgudu Gram Panchayath , Kengeri Hobli, Bangalore South Taluk	93.2
112	Raheja Vivarea - Phase 2	CHALET HOTELS LIMITED	31-12-2026	Municipal No. 21, Koramangala Industrial Layout  , Sy No 21p, 22p, 42p & 53/1B, Jakkasandra Village, Sarjapura Road, Bangalore South	160
113	E Golden Heights	SHREE KRISHNA BUILDERS AND DEVELOPERS	25-06-2025	Sy No.48/7, Konappana Agrahara, , Begur hobli Bangalore South.	432
114	VATAVARANA REALTY	M/s VATAVARANA REALTY	31-12-2025	VATAVARANA Sy. 75/1, 75/2, 75/3, Maligondanahalli Village, Kengeri Hobli, Bangalore South Taluk, Bangalore - 560060
115	SHUBHA SAGARI	SHUBHADITHYA BUILDERS AND DEVELOPERS	31-12-2026	SURVEY NOS.103,105/2,109/2A AND 109/2B ITTANGUR VILLAGE , SARJAPURA HOBLI, ANEKAL TALUK
116	GRAVITY ARANYA PHASE - 2	GRAVITY  ESTATES	25-02-2027	NO.424/31,37,38, SY NO. 31, 37, & 38 CHUDENAPURA VILLAGE KENGERI	231.6
117	SUPREME SYMPHONY	SUPREME BUILDERS	31-03-2026	SY NO 61/1A7, KHATA NO NO-750/485/61/1A/7 KENGERI VILLAGE ( SUNAKAL PALYA) , KENGERI HOBLI,	62.7
118	SRS SUNRISE	SRS BUILDERS AND DEVELOPERS	31-12-2025	Survey No. 22-7, 22-8 and 22-12, Parappana Agrahara Village , Begur Hobli, Bangalore South Taluk	90.7
119	GARUDADRI GARDENS	SRI GARUDADRI CONSTRUCTIONS	10-06-2025	SY. NO. 63/4 AND SY. NO. 63/6, KATHA NO.1509/SY.NO.63/4 & 1511/SY.NO.63/6 , HEMMIGEPURA, KENGERI ZONE	98.9
120	Assetz Canvas & Cove - Phase 1 Wing A & B	APG HABITAT PRIVATE LIMITED	30-04-2027	Survey Nos. 149/1,149/3,149/4,149/5,149/6,149/7 ( PART),150 , BEGUR  BANGALORE SOUTH TALUK	77.7
121	MGR WINDSOR GARDENS	SRI MANJUNATHA DEVELOPERS	31-12-2025	SITE/KATHA NO 113/119/118/28/4/1/A1 OF PUTTENAHALLI VILLAGE , UTTRAHALLI HOBLI, WARD NO 187	102.7
122	PANCHAJANYAA	ROYAAL MAHAADEVA BUILDERS	31-10-2027	Katha No 287(150200102701021993), Sy No 159, Manchanahalli Village , Sarjapura Hobli, Anekal Taluk	289
123	Shiva Sakthi	SHIVASHAKTHI BUILDERS AND DEVELOPERS	31-03-2027	SY NO.39/1 & 40/2A, Gowdana Palya, Subramanya Pura Main Road, Kadirenahalli Village, Uttarahalli Hobli, Bangalore South Taluk	115.7
124	VARAD	SATYAM BUILDERS & DEVELOPERS	31-12-2027	2/3, Kammasandra Village , Attibele Hobli, Bangalore South Taluk	106.5
125	ELITE BROOKVALE	ELITE INFRASTRUCTURES	31-10-2025	No. 61/1A7, Near ST. Mary's Nirmalagiri School , Uttarahalli Kengeri Main Road, Adjacent to BGS Hospital	105.2
126	Concorde Opus II Phase 3	Concorde I Values Homes India LLP	31-03-2027	Sy No.79/1 & others, Tharalu Village, Uttarahalli Hobli
127	Sattva SimpliCity	Sattva Resi Private Limited	31-12-2025	SY. NO. 25/1,41/1(NEW SY. NO. 41/9 ) & 41/7, KATHA NO. 3878/25/1/41/1/41/7 , PATTANAGERE & MYLASANDRA VILLAGE, HEMMIGEPURA, WARD NO 198, KENGERI HOBLI
128	NISARGA RESIDENCY	G R INFRA	31-07-2025	SY. NO. 264/2, KATHA NO. 895/264/2 , KENGERI - KODIPALYA VILLAGE	103.5
129	SV Brezza 2	S V Developers	31-12-2026	Katha No. 9/1/123/276 to 301/304 to 315/341/119 , Kenchenahalli, Gnanabharathi, R.R.Nagar, Bangalore	95.9
130	Assetz Inspira Melodies of Life	IINSPIRA WORLDCITY PROJECTS PRIVATE LIMITED	31-08-2026	SY. NO-86/1, 86/ 3, 86/ 4, 2/ 1, 2/ 2, 4, 5, 7 ,8/ 1, 8/ 2, 8/ 3, 9, 10 13/ 2, 13/ 3, 14/ 1, 14/ 2, 14/ 3, 15/ 1, 15/ 2, 15/ 3, 16, 17/ 1   ,  AT K.G. CHOODASANDRA VILLAGE, 120/ 1 and  120/ 3 120/ 4 . AT RAYASANDRA VILLAGE,SARJAPURA  HOBLI, ANEKAL TALUK, BANGALORE
131	DS MAX SISTA GRAND	DS Max Properties Private Limited	31-12-2027	Khatha No : Sy No 119/2, 119/3, 119/4 and 119/5 OF UTTARAHALLI , BOMMANAHALLI ZONE, BENGALURU IN WARD NO: 184	131.4
132	CityVille Valmark Phase 2A	VALMARK DEVELOPERS PRIVATE LIMITED	30-06-2027	Survey No.2,3,5,6,7,8,9 & 24 of Chandrasekharpura Village and Survey No.112 & 113 of Kamanahalli Village, Begur Hobli, Bengaluru Urban - 560072	196.6
133	SURAKSHA SPRINGS	AUK SURAKSHA PROPERTIES	15-03-2027	Sy No36/8, 36/10  Yelenahalli Village,  , Begur Hobli, Bangalore South Taluk, Bangalore	88.7
134	Samaya Sunshine	M/s SAMAYA INFRASTRUCTURES (Prop : PRASANNA KUMAR B M)	31-12-2026	PROPOSED RESIDENTIAL APARTMENT BUILDING @ BBMP KATHA NO 148/149/150/151/176/177/178/179/68/2028/2093 , MYLASANDRA VILLAGE, KENGERI HOBLI, BANGALORE, WARD NO:198	85.6
135	SRI SRI NAGAR	Sri Sumeru Realty Private Limited	31-03-2026	Sy.No.410, 411, 412 & 432 , Uttarahalli Hobli,  Bangalore Souh Taluk
136	DWARA ORVILLE	DWARA DEVELOPERS	10-06-2027	PROPOSED ROW HOUSE BUILDING @ KHATHA NO : 45, , SY NO : 70/4,70/5, SITUATED AT KAMMANAHALLI VILLAGE, BEGUR HOBLI,
137	SATTVA SPRINGS	Sattva Resi Private Limited	18-09-2027	land bearing BBMP khatha No.24/20/20/219, Mysore Main Road, Bengaluru carved out of converted undeveloped lands bearing Survey No.126, Survey No.119/1, Survey No.119/2D, Survey No.119/3D, Survey No.119/4B, Survey No.119/5B, Survey No.119/6B,  Survey No. 120/1, Survey No.120/2, Survey No.120/3B, Survey No.120/4B, Survey No.120/5B, Survey No.120/6B, Survey No.123/1, Survey No. 123/2, Survey No.123/3 and Survey No.125/5, all situated at Pantharapalya Village, Kengeri Hobli, Bangalore South Taluk
