Sl No,Project Name,Promoter,Completion Date,Extension 1,Extension 2,Extension 3,Address,Area (sqm),Units,Matched Locality,Nearest Metro Station,Distance to Metro (km),Within 4km,Google Maps
552,SRS SUNRISE,SRS BUILDERS AND DEVELOPERS,31-12-2025,,,,"Survey No. 22-7, 22-8 and 22-12, Parappana Agrahara Village , Begur Hobli, Bangalore South Taluk",90.7,,parappana agrahara,Yelachenahalli,6.67,No,"https://www.google.com/maps/search/?api=1&query=12.872,77.627"
554,MGR WINDSOR GARDENS,SRI MANJUNATHA DEVELOPERS,31-12-2025,,,,"SITE/KATHA NO 113/119/118/28/4/1/A1 OF PUTTENAHALLI VILLAGE , UTTRAHALLI HOBLI, WARD NO 187",102.7,,puttenahalli,Yelachenahalli,0.57,Yes,"https://www.google.com/maps/search/?api=1&query=12.9022,77.5796"
557,Sattva SimpliCity,Sattva Resi Private Limited,31-12-2025,,,,"SY. NO. 25/1,41/1(NEW SY. NO. 41/9 ) & 41/7, KATHA NO. 3878/25/1/41/1/41/7 , PATTANAGERE & MYLASANDRA VILLAGE, HEMMIGEPURA, WARD NO 198, KENGERI HOBLI",,,hemmigepura,Thalaghattapura,1.08,Yes,"https://www.google.com/maps/search/?api=1&query=12.85,77.505"
571,Pacific Legacy,Maryiam Infrastructure Private Limited,31-12-2025,,,,"Sy No 71/2, 71/3, 71/4, 71/5, 71/6, 71/7 , Someshwara Layout, Bilekahalli Village, Begur Hobli",100.4,,bilekahalli,Yelachenahalli,3.64,Yes,"https://www.google.com/maps/search/?api=1&query=12.889,77.605"
573,GARUDAATHRI NILAYA,M/s. GARUDAATHRI DEVELOPERS,31-12-2025,,,,"Site No. 29 & 30, Katha No. 497/485/30 & 484/29, Ward No.192, Central Excise Layout, Phase 1 , Kammanahalli Village, Begur Hobli",66.4,,kammanahalli,Yelachenahalli,4.61,No,"https://www.google.com/maps/search/?api=1&query=12.885,77.613"
587,MEENAKSHI VRINDAVAN,"PUNIT BALAN, PURNIMA SUNIL ALGUDE, SHIBANI DATTA",31-12-2025,,,,"SY NO 15/1A OF YELLUKUNTE VILLAGE,  , BEGUR HOBLI,",116.6,,yellukunte,Yelachenahalli,5.91,No,"https://www.google.com/maps/search/?api=1&query=12.873,77.619"
584,ATARAXIS,PRADEEP KRISHNAPPA,01-01-2026,,,,"Converted Sy No.13/1 & SY No.13/2 situated at Vajarahalli Village Uttarahalli Hobli, Bangalore South Taluk, Bangalore , Bangalore South Taluk, Bangalore",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
303,Gopalan Florenza,GOPALAN ENTERPRISES,24-01-2026,24-04-2021 - 24-01-2022,24-01-2022 - 24-01-2023,24-01-2023 - 24-01-2026,"KATHA NO: 422/16/2/22 (SY.NO.16/2&22), GANAKALLU VILLAGE, KENGERI HOBLI, BANGALORE SOUTH TALUK",110.9,,ganakallu,Kengeri,1.2,Yes,"https://www.google.com/maps/search/?api=1&query=12.835,77.49"
519,ARCHITHA AARNA,ARCHITHA VENTURES LLP,31-01-2026,,,,"SY.NO.40, CHANNSANDRA VILLAGE , UTTARAHALLI HOBLI",128,34,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
522,PARADISE ON EARTH,Urbanrise Classic Homes Private Limited,31-01-2026,,,,"Survey No. 35, Gangasandra Village , Kengeri Hobli, Bangalore South Taluk",,,gangasandra,Silk Institute,1.27,Yes,"https://www.google.com/maps/search/?api=1&query=12.84,77.49"
439,SHRIRAM WESTWOODS,SREE RAYALASEEMA HI STRENGTH HYPO LIMITED,26-02-2026,,,,"SY.NO.20/2,23,24(P), 25/1(P) & 25/2(P) , OF DODDERI VILLAGE, TAVAREKERE HOBLI, BANGALORE SOUTH TALUK,",,,tavarekere,Vajrahalli,4.4,No,"https://www.google.com/maps/search/?api=1&query=12.83,77.555"
569,SONG OF WIND,ROYAL INDRAPRASTHA BUILDCON LLP,28-02-2026,,,,"BBMP KHATHA NO 107, SITE NO 107, SY NO 7/4, 7/11, 7/12, 8/1P AND 25/26/1, , MANVATHEKAVAL VILLAGE, UTTARAHALLI HOBLI, WARD NO 198,",106.4,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
594,ABH SAMRDDHI,B V TARAKESHWARI,28-02-2026,,,,"SY NO 37/1B2 OF  , KENCHANAPURA VILLAGE, KENGERI HOBLI",,,kenchanapura,Silk Institute,0.73,Yes,"https://www.google.com/maps/search/?api=1&query=12.8438,77.5005"
528,CASAGRAND ZAIDEN,CASA GRANDE GARDEN CITY BUILDERS PVT LTD,22-03-2026,,,,"SY.NO.59 (OLD SY.NO.7/9), KHATHA NO.237/1/7/9/7/18 at WARD NO.198 , UTTARAHALLI MANAVARTHAKAVAL VILLAGE",112.3,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
367,CENTREO by Enessen Estates & Prime One Corp,SILVERSTREAM DEVELOPERS PVT LTD,30-03-2026,30-06-2023 - 30-03-2024,30-03-2024 - 30-03-2025,30-03-2025 - 30-03-2026,"Sy.No: 14/2,Raghuvanahalli village,Uttarahalli Hobli,Bangalore south, Sy.No: 14/2,Raghuvanahalli village,Uttarahalli Hobli,Bangalore south",112,,raghuvanahalli,Konanakunte Cross,0.71,Yes,"https://www.google.com/maps/search/?api=1&query=12.8873,77.5588"
493,JRC WILD WOODS,JRC PROJECTS,30-03-2026,,,,"JRC Palladio, Near Indus International School, Tyayakanhalli, Billapura Cross, Sarjapura - Attible Road",145.9,146,sarjapura,Yelachenahalli,14.76,No,"https://www.google.com/maps/search/?api=1&query=12.88,77.71"
308,Sumukha Silverstone,Sumukha Ventures,31-03-2026,,31-07-2025 - 31-03-2026,,"130/1, Doddakammanahalli Main Road, Begur Hobli, Bangalore south",102.5,,kammanahalli,Yelachenahalli,4.61,No,"https://www.google.com/maps/search/?api=1&query=12.885,77.613"
496,Shivaganga Sai Raksha,SHIVAGANGA BUILT TECH,31-03-2026,,,,"Sy. No. 6/3, Kanakapura Main Road , Raghuvanahalli Village, Hemmigepura",97.6,,raghuvanahalli,Konanakunte Cross,0.71,Yes,"https://www.google.com/maps/search/?api=1&query=12.8873,77.5588"
502,GOOD EARTH MOTIF,GOOD EARTH ECO DEVELOPMENTS PRIVATE LIMITED,31-03-2026,,,,"Sy. Nos. 223 (P), 224 (P) & 226 (P), , Kambipura Village, Kengeri Hobli,",,,kambipura,Vajrahalli,3.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.883,77.504"
551,SUPREME SYMPHONY,SUPREME BUILDERS,31-03-2026,,,,"SY NO 61/1A7, KHATA NO NO-750/485/61/1A/7 KENGERI VILLAGE ( SUNAKAL PALYA) , KENGERI HOBLI,",62.7,,kengeri,Kengeri,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8274,77.4822"
577,BELAKU,Millennial Luxury Estates Private Limited,31-03-2026,,,,"Survey No.24/8A, of Jakkasandra Village, Begur Hobli , Bangalore South Taluk",222.2,8,jakkasandra,Yelachenahalli,5.62,No,"https://www.google.com/maps/search/?api=1&query=12.912,77.628"
580,Essence of Earth,Sri Sai Associates,31-03-2026,,,,"Residential Layout plan in Sy no 24/2, 25/2, 26/1, 26/2, 27/3 and 27/4(Part) of  , Kaggalipura Village, Uttarahalli hobli, Kanakapura main road",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
591,VIJAYASHREE ENCLAVE 3,M V KARTHIK,31-03-2026,,,,"Sy no 117/4, 117/9 and 117/10 of Kumbalagodu Village , Kengeri Hobli",,,kumbalagodu,Kengeri,4.25,No,"https://www.google.com/maps/search/?api=1&query=12.863,77.468"
515,HONEY COMB HOMES,HONEY COMB BUILDERS,25-04-2026,,,,"DODDABELE VILLAGE, KENGERI HOBLI",92.8,,doddabele,Kengeri,2.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.85,77.472"
599,Nisarga Layout,Revanasiddaiah and Others,25-04-2026,,,,"Sy No 29/1 of Sulikere Village , Kengeri Hobli, Bengaluru South Taluk",,,sulikere,Kengeri,0.88,Yes,"https://www.google.com/maps/search/?api=1&query=12.835,77.48"
525,Concorde Opus II Phase 2,Concorde I Values Homes India LLP,30-04-2026,,,,"Sy No.79/1 & other, Tharalu Village, Uttarahalli Hobli",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
570,Akshaya Meadows,M/s Akshaya Meadows,30-04-2026,,,,"Sy.No. 53/9(P), 10, 11,12,13 Yelanahalli Village , Begur Hobli",,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
